English Word,Grammatical Type,Pidgin Translation,Script,True Transcription,Skyhawk Orthography,set,pack
bench,noun,kgrm,kbm,koarm,kōrm,,
"bend, fold",verb,mgrz,mbz,moarz,mōrz,,
"bend, turn",noun,Hgyp,HBp,khhoip,ħoip,,
be-prepared-for,compound verb,lyRaw,",lyRC",lee-rauw,lē-row,,
berry,noun,feH,feH,fehkhh,feħ,,
"bet, gamble, risk",verb,RilH,RIH,rilkhh,rilħ,,
be-tired-of,verb,Dawf,DCf,dzauwf,ẓowf,emotion,
betray,verb,nerX,nPX,nairzh,nārž,,
between,compound preposition,hyjlw,hyjlw,heech-looh,hēč-lü,,
"beverage, drink",noun,zip,zip,zihp,zip,food,
beyond,unary suffix,kel,kE,kel,kel,unary suffix,grammar
bicycle,noun,pulz,pUz,pulz,pulz,,
"bi-directional, centaur-form",noun,kol,kO,kall,kol,,
bill (paper money),noun,qeN,qeN,thehng,θeŋ,,
"bill, check (something owed)",noun,Dels,DEs,dzels,ẓels,,
binary,compound noun,vgwn kw,vgn kw,vohwn kooh,vōn kü,,
biology,noun,fuD,fuD,fuhdz,fuẓ,,
biped,compound noun,Qif kw,Qif kw,dthihf kooh,ðif kü,,
birch,noun,xgwq,xgq,shohwth,šōθ,,
bird,noun,jyp,jyp,cheep,čēp,,
birth,compound noun,numoQ,numoQ,n'modth,nᵘmoð,,
birthday,noun,qgrz,qbz,thoarz,θōrz,,
bisexuality,compound noun,loNXr,",loNXr",long-zhur,loŋ-žur,animal,
bite,verb,fak,fak,fak,fak,food,
bitterness (flavor),noun,DrH,DrH,dzurkhh,ẓurħ,food,
black,noun,feJ,feJ,fehj,fej,,
blackmail,verb,palj,pAj,palch,palč,,
blade,noun,fcn,fcn,fuon,føn,,
"blame, responsibility (blame)",noun,xulQ,xUQ,shuldth,šulð,,
"blanket, sheet",noun,sels,sEs,sels,sels,,
"bleed, lose (substance)",verb,Xom,Xom,zhom,žom,,
blemish,noun,Dak,Dak,dzak,ẓak,description,
"blend, mix, stir",verb,Dym,Dym,dzeem,ẓēm,kitchen,
bless,verb,WawX,WCX,wauwzh,wowž,,
blinds (window),noun,Daq,Daq,dzath,ẓaθ,kitchen,
"blink, toggle",verb,moyj,mZj,miich,mīč,,
block (city),noun,Wulv,WUv,wulv,wulv,,
block (toy),noun,Xav,Xav,zhav,žav,,
blood,noun,liv,",liv",lihv,liv,,
blood vessel,noun,pyq,pyq,peeth,pēθ,,
blouse,noun,Yulz,YUz,yulz,yulz,,
blow-on,verb,fwf,fwf,foohf,füf,,
blue,noun,kuq,kuq,kuhth,kuθ,,
bluff,verb,qirp,qVp,theerp,θērp,,
blush,verb,mor,mS,mar,mar,,
"board, enter",verb,qaz,qaz,thaz,θaz,,
"boat, ship, vessel, mother (cq.)",noun,Ta,Ta,tsa,ṣa,,
bobcat,noun,verz,vPz,vairz,vārz,,
body,noun,qirx,qVx,theersh,θērš,,
boil,verb,xalD,xAD,shaldz,šalẓ,,
"bomb, explosive",compound noun,nujoysr,nujZsr,n'chii-sur,nᵘčī-sur,,
"bondage, restriction",compound noun,nuha,nuha,n'ha,nᵘha,,
bone,noun,Xwz,Xwz,zhoohz,žüz,,
book,noun,keyx,kFx,kaysh,kāš,,
boot,noun,vgyq,vBq,voith,voiθ,,
boredom,noun,Dol,DO,dzall,ẓol,,
"both (+containing, if implied)",prepositional prefix,Xu,Xu,zhuh,žu,prep prefix,grammar
both+member-of (contraction),prepositional contraction,Xuj,Xuj,zhuhch,žuč,preposition,grammar
bottom-side,compound noun,nuxyj,nuxyj,n'sheech,nᵘšēč,,
bounce,noun,Dgys,DBs,dzois,ẓois,,
bow,noun,Jun,Jun,juhn,jun,,
bowl,noun,Qcq,Qcq,dthuoth,ðøθ,,
box,verb,Juf,Juf,juhf,juf,,
box,noun,nrk,nrk,nurk,nurk,,
boxers (underwear),noun,NcT,NcT,nguots,ŋøṣ,,
bracelet,noun,zuq,zuq,zuhth,zuθ,,
brag,verb,fwH,fwH,foohkhh,füħ,,
Brahma,proper noun,kuprH,kuprH,k'purkhh,kᵘpurħ,,
brain,noun,Na,Na,nga,ŋa,,
"branch, stem",noun,Xul,XU,zhul,žul,,
"brand, kind, type",noun,Yerp,YPp,yairp,yārp,,
"brand, tattoo",noun,qerf,qPf,thairf,θārf,,
brassiere,noun,Jel,JE,jel,jel,,
"brawn, strength",noun,kglm,kGm,kohlm,kōlm,,
bread,noun,Xgr,Xb,zhoar,žōr,,
"break, recess",noun,Yym,Yym,yeem,yēm,,
"break, ruin",verb,XoT,XoT,zhots,žoṣ,,
breakfast,noun,Qap,Qap,dthap,ðap,,
"break-free-of, hatch-from",verb,pix,pix,pihsh,piš,,
breast (female),noun,Yox,Yox,yosh,yoš,,
breath,noun,lilk,",lIk",lilk,lilk,body,
breathe,verb,lil,",lI",lil,lil,,
breathlessness,noun,lers,",lPs",lairs,lārs,body,
"breed, multiply",verb,mey,mF,may,mā,,
"breeze, wind",noun,xys,xys,shees,šēs,,
"bribe, offer",noun,fej,fej,fehch,feč,,
"bribe, offer",verb,jef,jef,chehf,čef,,
brick (color),compound noun,Hix su feJ,Hix su feJ,khhihsh s'fehj,ħiš sᵘfej,,
brick (substance),noun,Xoyq,XZq,zhiith,žīθ,,
bridge (across something),noun,peT,peT,pehts,peṣ,,
"briefcase, suitcase",noun,heln,hEn,heln,heln,,
"brightness, illumination",compound noun,nuXrs,nuXrs,n'zhurs,nᵘžurs,science,
"bring, provide",verb,jeN,jeN,chehng,čeŋ,,
broom,noun,Jom,Jom,jom,jom,,
brow,noun,Qawk,QCk,dthauwk,ðowk,,
browse,verb,Deyx,DFx,dzaysh,ẓāš,,
bruise,noun,Tirz,TVz,tseerz,ṣērz,,
brunch,noun,paQ,paQ,padth,pað,,
"brush, comb, scrub",verb,heyJ,hFJ,hayj,hāj,,
"buck, jerk",verb,Twn,Twn,tsoohn,ṣün,,
"bucket, pail",noun,TiN,TiN,tsihng,ṣiŋ,,
buckle,noun,xeQ,xeQ,shehdth,šeð,,
Buddha,proper noun,kupwD,kupwD,k'poohdz,kᵘpüẓ,,
"buggy, cart, wagon",noun,YgyD,YBD,yoidz,yoiẓ,,
"build, construct",verb,zgy,zB,zoi,zoi,,
building,noun,lor,",lS",lar,lar,,
bulge,noun,hel,hE,hel,hel,,
bullet,noun,xrq,xrq,shurth,šurθ,,
"bulletin, notice",noun,xrD,xrD,shurdz,šurẓ,,
burn,verb,TuX,TuX,tsuhzh,ṣuž,,
burp,noun,pilq,pIq,pilth,pilθ,,
burrow,noun,Xgy,XB,zhoi,žoi,,
burrowing,noun,fyv,fyv,feev,fēv,,
bus,noun,jerq,jPq,chairth,čārθ,,
"bush, hedge, shrub",noun,WeQ,WeQ,wehdth,weð,,
business (being busy),noun,krn,krn,kurn,kurn,,
business (enterprise),noun,xyf,xyf,sheef,šēf,,
butt,noun,pum,pum,puhm,pum,,
butter,noun,Jyx,Jyx,jeesh,jēš,,
butterfly,noun,Dev,Dev,dzehv,ẓev,animal,
button (clothing),noun,DalD,DAD,dzaldz,ẓalẓ,clothing,
button (the type you press),noun,hirD,hVD,heerdz,hērẓ,,
"button, pin",noun,Rgls,RGs,rohls,rōls,,
"buttress, hold-up, support",verb,jaD,jaD,chadz,čaẓ,,
"buy, purchase",verb,kelq,kEq,kelth,kelθ,,
by-way-of,preposition,Yij,Yij,yihch,yič,preposition,grammar
"cabbage, lettuce",noun,xgrz,xbz,shoarz,šōrz,,
"cable, cord, wire",noun,zalk,zAk,zalk,zalk,,
cactus,noun,Rrf,Rrf,rurf,rurf,,
caecilian,noun,Ngwm,Ngm,ngohwm,ŋōm,,
caffeine,noun,Qawp,QCp,dthauwp,ðowp,,
"cage, cell",noun,Trs,Trs,tsurs,ṣurs,,
cake,noun,Qolz,QOz,dthallz,ðolz,,
"calculate, reason",verb,xrT,xrT,shurts,šurṣ,,
calculator,compound noun,nuxrTsr,nuxrTsr,n'shurts-sur,nᵘšurṣ-sur,,
calendar,noun,nelv,nEv,nelv,nelv,,
calf (of leg),noun,vgyx,vBx,voish,voiš,,
"call-up, page",verb,kyT,kyT,keets,kēṣ,,
"calmness, serenity, tranquility",noun,haws,hCs,hauws,hows,,
camel,noun,Rgrf,Rbf,roarf,rōrf,,
camera (picture),compound noun,vivsr,vivsr,vihv-sur,viv-sur,,
camera (video),compound noun,hgynsr,hBnsr,hoin-sur,hoin-sur,,
camouflage,noun,pgwN,pgN,pohwng,pōŋ,,
camouflage,verb,Wij,Wij,wihch,wič,,
can,noun,lilv,",lIv",lilv,lilv,,
canary,noun,nerz,nPz,nairz,nārz,,
can-be,compound verb,lymy,",lymy",lee-mee,lē-mē,,
cancel,verb,fals,fAs,fals,fals,,
candela,noun,falj,fAj,falch,falč,,
candle,noun,Rels,REs,rels,rels,,
candy,noun,nrz,nrz,nurz,nurz,,
canine,noun,Wcf,Wcf,wuof,wøf,,
cannon,noun,Twq,Twq,tsoohth,ṣüθ,,
canoe,noun,koq,koq,koth,koθ,,
canoe-shape,noun,ker,kP,kair,kār,,
cantering,noun,Rirq,RVq,reerth,rērθ,,
"cap, limitation",compound noun,nuncp,nuncp,n'nuop,nᵘnøp,,
cape,noun,Ncj,Ncj,nguoch,ŋøč,,
capitol,noun,mgwD,mgD,mohwdz,mōẓ,,
"capture, trap",verb,jaw,jC,chauw,čow,,
carbon,noun,pgwD,pgD,pohwdz,pōẓ,,
card (greeting or holiday),noun,jalm,jAm,chalm,čalm,,
card (piece of stiff material),noun,Tev,Tev,tsehv,ṣev,,
cardboard,noun,Tef,Tef,tsehf,ṣef,,
cardinal,noun,hgrX,hbX,hoarzh,hōrž,,
care-about,verb,fy,fy,fee,fē,,
career,noun,lgwj,",lgj",lohwch,lōč,,
carefulness,noun,fyx,fyx,feesh,fēš,,
cargo,noun,moyf,mZf,miif,mīf,,
caribou,noun,Hers,HPs,khhairs,ħārs,,
carnivore,noun,jolx,jOx,challsh,čolš,,
carnosaur,noun,hglm,hGm,hohlm,hōlm,,
carpet,noun,TgwX,TgX,tsohwzh,ṣōž,,
carrion,noun,Dyf,Dyf,dzeef,ẓēf,,
carrot,noun,Jalz,JAz,jalz,jalz,,
carry,verb,xilT,xIT,shilts,šilṣ,,
cartilage,noun,noyz,nZz,niiz,nīz,,
"cast, cure",verb,zcT,zcT,zuots,zøṣ,,
castle,noun,xilj,xIj,shilch,šilč,,
"cat, housecat",noun,faQ,faQ,fadth,fað,animal,
catalog,noun,nglJ,nGJ,nohlj,nōlj,,
catapult,noun,mwx,mwx,moohsh,müš,,
"catastrophe, disaster",noun,mulm,mUm,mulm,mulm,,
catch,verb,polv,pOv,pallv,polv,,
"catsup, ketchup",noun,vux,vux,vuhsh,vuš,,
causality,compound noun,nufij,nufij,n'fihch,nᵘfič,,
cause,verb,ferj,fPj,fairch,fārč,,
caustic-ness,noun,DgyT,DBT,dzoits,ẓoiṣ,,
"caution, warn",verb,Xolf,XOf,zhallf,žolf,,
cave,noun,lrQ,",lrQ",lurdth,lurð,,
"cavity, concave-ness",noun,Ycj,Ycj,yuoch,yøč,,
"cease, stop (present tense)",compound verb,qukly,qukly,thuhk-lee,θuk-lē,,
ceiling,noun,nulD,nUD,nuldz,nulẓ,,
"celebrate, rejoice",verb,xglz,xGz,shohlz,šōlz,,
celery,noun,Jwz,Jwz,joohz,jüz,,
cell (biological),noun,YgwD,YgD,yohwdz,yōẓ,,
center,compound noun,nuWuXr,nuWuXr,n'wuh-zhur,nᵘwu-žur,,
"center-of, central-to",compound preposition,WuXr,WuXr,wuh-zhur,wu-žur,,
"centipede, millipede",noun,DuD,DuD,dzuhdz,ẓuẓ,animal,
ceramic,noun,Rez,Rez,rehz,rez,,
ceratopsian,noun,Jan,Jan,jan,jan,,
ceratosaur,noun,WeyT,WFT,wayts,wāṣ,,
cereal,noun,Dox,Dox,dzosh,ẓoš,food,
cerebrospinal fluid,noun,nawQ,nCQ,nauwdth,nowð,,
ceremony,noun,saf,saf,saf,saf,,
"certainty, likelihood, probability",noun,YaT,YaT,yats,yaṣ,,
chain,noun,XglT,XGT,zhohlts,žōlṣ,,
"chair, seat",noun,qix,qix,thihsh,θiš,bathroom,
chalk,noun,Xirk,XVk,zheerk,žērk,,
challenge,verb,Jgwm,Jgm,johwm,jōm,,
challenge,noun,Jgwn,Jgn,johwn,jōn,,
