Pidgin,Grammatical Type,Script,True Transcription,Skyhawk Orthography,English Translation,set,pack
faj,verb,faj,fach,fač,misinterpret,,
fak,verb,fak,fak,fak,bite,food,
falf,verb,fAf,falf,falf,exaggerate,,
falj,noun,fAj,falch,falč,candela,,science
falp,noun,fAp,falp,falp,drum,,
fals,verb,fAs,fals,fals,cancel,,
fam,noun,fam,fam,fam,year,,
fan,noun,fan,fan,fan,scissors,,
faQ,noun,faQ,fadth,fað,"cat, housecat",zoology,science
fas,noun,fas,fas,fas,deliciousness,food,
faT,noun,faT,fats,faṣ,deciduous (tree),nature,
fax,noun,fax,fash,faš,washer (clothes),appliance,science
faX,noun,faX,fazh,faž,mathematics,mathematics,mathematics
fcD,noun,fcD,fuodz,føẓ,paranoia,,
fcj,noun,fcj,fuoch,føč,"appointment, date (meeting)",,
fcn,noun,fcn,fuon,føn,blade,,
fcp,noun,fcp,fuop,føp,crow,,
fcq,verb,fcq,fuoth,føθ,"envelop, un-birth",,
fcT,noun,fcT,fuots,føṣ,"bayou, swamp",geography,
fe,noun,fe,feh,fe,lock,,
feD,noun,feD,fehdz,feẓ,tax,,
feH,noun,feH,fehkhh,feħ,berry,food,
feJ,noun,feJ,fehj,fej,black,,
fej,verb,fej,fehch,feč,"bribe, offer",,
felv,noun,fEv,felv,felv,appetizer,,
feN,noun,feN,fehng,feŋ,"critical-ness, exactness",,
fen,noun,fen,fehn,fen,"excuse, reason",,
feq,noun,feq,fehth,feθ,horse,,
feQ,noun,feQ,fehdth,feð,performance,,
ferj,verb,fPj,fairch,fārč,cause,,
ferk,noun,fPk,fairk,fārk,"formal-dress, tuxedo",,
ferN,noun,fPN,fairng,fārŋ,shock (electric),,
ferNsr,compound noun,fPNsr,fairng-sur,fārŋ-sur,"shocker, tazer",,
ferp,noun,fPp,fairp,fārp,sexual-fetish,,
ferp su pcv,compound noun,fPp su pcv,fairp s'puov,fārp sᵘpøv,sadism,,
ferp su pglQ,compound noun,fPp su pGQ,fairp s'pohldth,fārp sᵘpōlð,masochism,,
fers,noun,fPs,fairs,fārs,ink,,
ferT,noun,fPT,fairts,fārṣ,side,,
ferX,noun,fPX,fairzh,fārž,evolution,,
fev,noun,fev,fehv,fev,longitude,,
fex,verb,fex,fehsh,feš,"roam, travel, wander",,
feyj,noun,fFj,faych,fāč,neck,,
fgl,noun,fG,fohl,fōl,"beauty, sex appeal (sexual)",sexuality,social
fglD,noun,fGD,fohldz,fōlẓ,vulture,,
fglf,noun,fGf,fohlf,fōlf,March,,
fglQ,noun,fGQ,fohldth,fōlð,scarf,,
fglz,noun,fGz,fohlz,fōlz,crane (tool),,
fgrm,noun,fbm,foarm,fōrm,"bar, saloon",,
fgrn,noun,fbn,foarn,fōrn,triangle,,
fgw,verb,fg,fohw,fō,domesticate,,
fgwp,noun,fgp,fohwp,fōp,"futility, pointlessness",,
fgwT,noun,fgT,fohwts,fōṣ,gland,,
fgwx,noun,fgx,fohwsh,fōš,domestication,,
fgy,verb,fB,foi,foi,volunteer-for,,
fgyD,noun,fBD,foidz,foiẓ,grass,nature,
fgyJ,noun,fBJ,foij,foij,gelatin,food,
fgyj,noun,fBj,foich,foič,"jam, jelly, preserves",food,
fgyQ,noun,fBQ,foidth,foið,fetus,,
fgyT,noun,fBT,foits,foiṣ,date (fruit),food,
fi,conjunction,fi,fih,fi,if,preposition,grammar
fiD,noun,fiD,fihdz,fiẓ,cuff,,
fif,verb,fif,fihf,fif,make-enemy-of,,
fij,conjunction,fij,fihch,fič,if-then,preposition,grammar
filj,noun,fIj,filch,filč,fiction,,
filn,noun,fIn,filn,filn,bandage,bathroom,home
filQ,noun,fIQ,fildth,filð,valley,,
filT,noun,fIT,filts,filṣ,un-death,,
filv,verb,fIv,filv,filv,project,,
fim,verb,fim,fihm,fim,jump-over,,
fin,verb,fin,fihn,fin,scavenge,,
fip,noun,fip,fihp,fip,hop,,
fir,verb,fV,feer,fēr,"demonstrate, instruct",,
firj,noun,fVj,feerch,fērč,square,,
firq,verb,fVq,feerth,fērθ,"dream, imagine, meditate",bedroom,home
firs,noun,fVs,feers,fērs,pants,,
firx,verb,fVx,feersh,fērš,"cook, heat",,
fis,verb,fis,fihs,fis,"constrict, squeeze, tighten",,
fiT,noun,fiT,fihts,fiṣ,lipstick,bathroom,home
fo,verb,fo,fo,fo,"hunt, predate",,
fok,noun,fok,fok,fok,"dryad, nymph",,
fol,verb,fO,fall,fol,"pack, store",,
folf,noun,fOf,fallf,folf,admiration,,
folk,verb,fOk,fallk,folk,wag,,
folp,verb,fOp,fallp,folp,"wave, wiggle",,
folq,verb,fOq,fallth,folθ,fit (be compatible with),,
fols,noun,fOs,falls,fols,ice,food,
folv,noun,fOv,fallv,folv,jellyfish,,
folx,noun,fOx,fallsh,folš,mayonnaise,,
folz,noun,fOz,fallz,folz,awkwardness (emotional),,
for,noun,fS,far,far,foreground,,
forH,noun,fSH,farkhh,farħ,prosperity,,
forj,noun,fSj,farch,farč,background,,
form,verb,fSm,farm,farm,sign-name,,
forp,noun,fSp,farp,farp,"appreciation, gratitude",,
forq,verb,fSq,farth,farθ,apologize,,
forQ,noun,fSQ,fardth,farð,"string, yarn",,
forz,verb,fSz,farz,farz,"interfere, obstruct",,
foy,noun,fZ,fii,fī,slipperiness,,
foys,verb,fZs,fiis,fīs,hear-words,,
fr,noun,fr,fur,fur,person (sentient being),,
frD,noun,frD,furdz,furẓ,universe,,
frf,noun,frf,furf,furf,fork,,
frk,noun,frk,furk,furk,"grouchiness, grumpiness",,
frn,noun,frn,furn,furn,rubbing-sound,,
frv,noun,frv,furv,furv,"costume, fursuit",furry-specific,home
frX,noun,frX,furzh,furž,louse,,
frx,noun,frx,fursh,furš,"therianthrope, ""furry""",,
fu,verb prefix,fu,fuh,fu,future,verb prefix,grammar
fuD,noun,fuD,fuhdz,fuẓ,biology,biology,science
fuf,noun,fuf,fuhf,fuf,doctor (medical),medicine,science
fuj,noun,fuj,fuhch,fuč,sweatpants,,
fuk,verb prefix,fuk,fuhk,fuk,future-ceasing,verb prefix,grammar
ful,numerical term,fU,ful,ful,ten,numerical,mathematics
fulD,verb,fUD,fuldz,fulẓ,schedule,,
fulf,verb,fUf,fulf,fulf,sabotage,,
fulj,noun,fUj,fulch,fulč,cookie,,
fulJ,noun,fUJ,fulj,fulj,maple,,
fulp,noun,fUp,fulp,fulp,range (arithmetic),,
fuls,noun,fUs,fuls,fuls,"goo, ooze",,
fuN,verb prefix,fuN,fuhng,fuŋ,future-again,verb prefix,grammar
fuT,verb prefix,fuT,fuhts,fuṣ,future-repeatedly,verb prefix,grammar
fux,verb prefix,fux,fuhsh,fuš,future-continuously,verb prefix,grammar
fuz,verb prefix,fuz,fuhz,fuz,future-beginning,verb prefix,grammar
fw,preposition,fw,fooh,fü,therefore,preposition,grammar
fwf,verb,fwf,foohf,füf,blow-on,,
fwH,verb,fwH,foohkhh,füħ,brag,,
fwj,preposition,fwj,foohch,füč,because-of,preposition,grammar
fwm,noun,fwm,foohm,füm,echidna,,
fwn,verb,fwn,foohn,fün,"pedal, row",,
fwN,verb,fwN,foohng,füŋ,sing,,
fwT,noun,fwT,foohts,füṣ,"diner, restaurant",,
fwX,verb,fwX,foohzh,füž,hum,,
fwx,verb,fwx,foohsh,füš,whistle,,
fy,verb,fy,fee,fē,care-about,,
fyk,noun,fyk,feek,fēk,hoof,,
fyN,noun,fyN,feeng,fēŋ,hospital,buildings,
fyv,noun,fyv,feev,fēv,burrowing,,
fyx,noun,fyx,feesh,fēš,carefulness,,
fyz,noun,fyz,feez,fēz,shoe,,
ha,verb,ha,ha,ha,"grip, hold, restrict",,
Ha,noun,Ha,khha,ħa,importance,,
HaD,noun,HaD,khhadz,ħaẓ,chest (lidded box),,
Haf,noun,Haf,khhaf,ħaf,magic,,
haj,verb,haj,hach,hač,pray,,
Haj,noun,Haj,khhach,ħač,spoon,,
Hal,noun,HA,khhal,ħal,"dot, spot",,
half,noun,hAf,half,half,report,,
halk,verb,hAk,halk,halk,improve,,
Halm,noun,HAm,khhalm,ħalm,granule,,
Haln,noun,HAn,khhaln,ħaln,asteroid,astronomy,science
halv,noun,hAv,halv,halv,"hobby, recreation",,
halz,noun,hAz,halz,halz,Halley's Comet,,
ham,noun,ham,ham,ham,guilt (criminal),,
Hap,noun,Hap,khhap,ħap,jaw,,
hap,noun,hap,hap,hap,toy,,
has,noun,has,has,has,orgasm,,
Hav,noun,Hav,khhav,ħav,afternoon,,
hav,verb,hav,hav,hav,"attend, occupy",,
haw,noun,hC,hauw,how,howl (self expression),,
Haw,verb,HC,khhauw,ħow,protest,,
hawD,noun,hCD,hauwdz,howẓ,dishwasher,,
hawj,noun,hCj,hauwch,howč,fence,,
HawJ,noun,HCJ,khhauwj,ħowj,kidney,,
Hawj,verb,HCj,khhauwch,ħowč,pass,,
hawm,noun,hCm,hauwm,howm,"ethics, morality",,
hawp,noun,hCp,hauwp,howp,modem,,
haws,noun,hCs,hauws,hows,"calmness, serenity, tranquility",,
Hawx,noun,HCx,khhauwsh,ħowš,end,,
Hawz,noun,HCz,khhauwz,ħowz,"chemical, molecule",,
hax,noun,hax,hash,haš,bed,bedroom,home
Hax,noun,Hax,khhash,ħaš,heaven,,
haz,noun,haz,haz,haz,ion,,
hcD,noun,hcD,huodz,høẓ,penis,,
hcJ,verb,hcJ,huoj,høj,memorize,,
Hck,noun,Hck,khhuok,ħøk,"division, split",,
hck,noun,hck,huok,høk,gown,,
Hcp,noun,Hcp,khhuop,ħøp,text-environment (chat),,
hcQ,verb,hcQ,huodth,høð,"marry, mate",,
Hcz,noun,Hcz,khhuoz,ħøz,"oscillation, wave",,
HeH,noun,HeH,khhehkhh,ħeħ,constellation,,
heH,noun,heH,hehkhh,heħ,order,,
Hej,noun,Hej,khhehch,ħeč,lasso,,
Hek,noun,Hek,khhehk,ħek,steel,,
hel,noun,hE,hel,hel,bulge,,
helj,verb,hEj,helch,helč,"retreat, withdraw",,
helk,noun,hEk,helk,helk,phlegm,,
heln,noun,hEn,heln,heln,"briefcase, suitcase",,
hels,verb,hEs,hels,hels,believe,,
helv,noun,hEv,helv,helv,frill,,
helX,noun,hEX,helzh,helž,wrist,anatomy,science
helx,verb,hEx,helsh,helš,"overcome, overwhelm",,
Helz,noun,HEz,khhelz,ħelz,probe,,
Hem,noun,Hem,khhehm,ħem,"decay, rot",,
her,noun,hP,hair,hār,stalactite,,
herj,noun,hPj,hairch,hārč,stalagmite,,
Herk,noun,HPk,khhairk,ħārk,giraffe,,
Herp,verb,HPp,khhairp,ħārp,"flip, invert",,
herq,noun,hPq,hairth,hārθ,thorn,,
Hers,noun,HPs,khhairs,ħārs,caribou,zoology,science
herx,verb,hPx,hairsh,hārš,spit (substance),,
Herz,noun,HPz,khhairz,ħārz,soap,bathroom,home
herz,noun,hPz,hairz,hārz,hypothesis,,
hev,noun,hev,hehv,hev,turkey,,
hex,noun,hex,hehsh,heš,glove,,
hey,noun,hF,hay,hā,"corridor, hall",,
heyD,noun,hFD,haydz,hāẓ,realism,,
heyf,noun,hFf,hayf,hāf,discipline,,
Heyf,noun,HFf,khhayf,ħāf,hyena,,
heyJ,verb,hFJ,hayj,hāj,"brush, comb, scrub",,
heyn,noun,hFn,hayn,hān,"channel, degree, setting",,
Heyp,noun,HFp,khhayp,ħāp,toucan,,
HeyT,noun,HFT,khhayts,ħāṣ,bathtub,bathroom,home
Heyx,noun,HFx,khhaysh,ħāš,key,,
hez,noun,hez,hehz,hez,vegetable,,
hgl,verb,hG,hohl,hōl,accuse,,
hglD,noun,hGD,hohldz,hōlẓ,romping,,
hglf,verb,hGf,hohlf,hōlf,"correct, fix",,
Hglk,noun,HGk,khhohlk,ħōlk,influence,,
hglm,noun,hGm,hohlm,hōlm,carnosaur,paleontology,science
hgln,noun,hGn,hohln,hōln,empire,,
hglp,noun,hGp,hohlp,hōlp,pheromone,,
hgls,noun,hGs,hohls,hōls,hill,,
hglv,noun,hGv,hohlv,hōlv,correction,,
HglX,noun,HGX,khhohlzh,ħōlž,alligator,zoology,science
hglx,noun,hGx,hohlsh,hōlš,gas (state of matter),,
hgrD,noun,hbD,hoardz,hōrẓ,stick-bug,,
hgrf,verb,hbf,hoarf,hōrf,defend,,
hgrj,noun,hbj,hoarch,hōrč,mole (animal),,
hgrX,noun,hbX,hoarzh,hōrž,cardinal,,
hgrx,noun,hbx,hoarsh,hōrš,piety,,
Hgrz,noun,Hbz,khhoarz,ħōrz,starfish,,
Hgwj,noun,Hgj,khhohwch,ħōč,"legend, myth",,
hgwk,noun,hgk,hohwk,hōk,hail,,
Hgws,noun,Hgs,khhohws,ħōs,shotgun,,
hgwv,noun,hgv,hohwv,hōv,margarine,,
Hgwx,noun,Hgx,khhohwsh,ħōš,check (mark),,
hgwz,noun,hgz,hohwz,hōz,"plains, savannah",,
Hgwz,noun,Hgz,khhohwz,ħōz,"realm, world",,
Hgy,noun,HB,khhoi,ħoi,prize,,
hgy,noun,hB,hoi,hoi,sigh,,
hgyD,noun,hBD,hoidz,hoiẓ,fruit,,
HgyD,noun,HBD,khhoidz,ħoiẓ,revenge,,
hgyf,noun,hBf,hoif,hoif,space,,
hgyk,noun,hBk,hoik,hoik,redundancy,,
Hgym,noun,HBm,khhoim,ħoim,"abundance, too-much",,
hgyN,noun,hBN,hoing,hoiŋ,"movie, moving image",,
hgynsr,compound noun,hBnsr,hoin-sur,hoin-sur,camera (video),,
Hgyp,noun,HBp,khhoip,ħoip,"bend, turn",,
hgyp,noun,hBp,hoip,hoip,sloth,,
hgyQ,noun,hBQ,hoidth,hoið,grain,,
Hgys,noun,HBs,khhois,ħois,event,,
Hgyv,noun,HBv,khhoiv,ħoiv,music,,
hgyz,verb,hBz,hoiz,hoiz,salute,,
hi,verb,hi,hih,hi,"change, modify",,
Hi,noun,Hi,khhih,ħi,enemy,,
Hif,noun,Hif,khhihf,ħif,"guts, insides",,
Hij,noun,Hij,khhihch,ħič,pie,,
hil,noun,hI,hil,hil,"chart, graph, map",,
Hil,noun,HI,khhil,ħil,chemistry,,
hilf,verb,hIf,hilf,hilf,"label, name",,
hilv,verb,hIv,hilv,hilv,radiate,,
Him,noun,Him,khhihm,ħim,rifle,,
hin,verb,hin,hihn,hin,"apply, baste, coat, layer",,
HiN,noun,HiN,khhihng,ħiŋ,diagonal,,
Hiq,verb,Hiq,khhihth,ħiθ,flatter,,
hiQ,noun,hiQ,hihdth,hið,outdoors,,
hirD,noun,hVD,heerdz,hērẓ,button (the type you press),,
hirs,noun,hVs,heers,hērs,kiwi,,
hirv,noun,hVv,heerv,hērv,"customer, passenger, patient",,
hirz,noun,hVz,heerz,hērz,gazelle,,
his,verb,his,hihs,his,omit,,
hiT,noun,hiT,hihts,hiṣ,"saliva, spit",,
Hix,noun,Hix,khhihsh,ħiš,red,,
hix,verb,hix,hihsh,hiš,reject,,
Hix su feJ,compound noun,Hix su feJ,khhihsh s'fehj,ħiš sᵘfej,brick (color),colors,
Hix su nol,compound noun,Hix su nO,khhihsh s'nall,ħiš sᵘnol,orange (color),,
Hix su qum,compound noun,Hix su qum,khhihsh s'thuhm,ħiš sᵘθum,fuchsia,,
Hix su saw,compound noun,Hix su sC,khhihsh s'sauw,ħiš sᵘsow,peach (color),,
hiz,verb,hiz,hihz,hiz,accept,,
ho,verb,ho,ho,ho,invent,,
hoD,noun,hoD,hodz,hoẓ,jade (stone),,
hof,verb,hof,hof,hof,"lose, misplace",,
hoj,noun,hoj,hoch,hoč,"partition, section",,
hok,verb,hok,hok,hok,accommodate,,
hol,noun,hO,hall,hol,"cubbyhole, nook",,
Hol,verb,HO,khhall,ħol,explain,,
holD,noun,hOD,halldz,holẓ,"lance, pole-arm",,
holv,verb,hOv,hallv,holv,reward,,
holx,noun,hOx,hallsh,holš,input,,
holX,noun,hOX,hallzh,holž,pearl,,
hop,noun,hop,hop,hop,frame,,
hor,noun,hS,har,har,animation (cartoon),,
horj,noun,hSj,harch,harč,swan,,
horn,noun,hSn,harn,harn,donkey,,
Horq,noun,HSq,khharth,ħarθ,"disc, disk",,
Hors,verb,HSs,khhars,ħars,"deflect, reflect",,
horT,noun,hST,harts,harṣ,womb,,
HorX,noun,HSX,khharzh,ħarž,"den, hideout",,
horz,noun,hSz,harz,harz,highway,,
Hox,verb,Hox,khhosh,ħoš,advise,,
hoX,verb,hoX,hozh,hož,ride,,
hoy,noun,hZ,hii,hī,compassion,,
Hoy,noun,HZ,khhii,ħī,system,,
hoyJ,noun,hZJ,hiij,hīj,pillow,,
HoyN,noun,HZN,khhiing,ħīŋ,"cologne, perfume",,
hoyN,noun,hZN,hiing,hīŋ,rust (metal),,
hoyn,noun,hZn,hiin,hīn,temperate-area,,
Hoyx,noun,HZx,khhiish,ħīš,pterosaur,,
hoyz,noun,hZz,hiiz,hīz,offspring,,
hoyz suj lon,compound noun,"hZz suj ,lon",hiiz suhch lon,hīz suč lon,son,,
hoyz suj peq,compound noun,hZz suj peq,hiiz suhch pehth,hīz suč peθ,daughter,,
hr,preposition,hr,hur,hur,before,preposition,grammar
Hr,unary suffix,Hr,khhur,ħur,not,unary suffix,grammar
HrD,verb,HrD,khhurdz,ħurẓ,rationalize,,
hrj,preposition,hrj,hurch,hurč,after,preposition,grammar
hrk,noun,hrk,hurk,hurk,symbolism,,
hrs,noun,hrs,hurs,hurs,beaver,zoology,science
hrT,noun,hrT,hurts,hurṣ,graphite,,
HrT,noun,HrT,khhurts,ħurṣ,quest,,
Hrv,noun,Hrv,khhurv,ħurv,airplane,,
Hrx,noun,Hrx,khhursh,ħurš,"flaw, oversight",,
hrx,noun,hrx,hursh,hurš,plesiosaur,,
hrXr,compound preposition,hrXr,hur-zhur,hur-žur,"during, as-soon-as, while, when",,
hu,numerical term,hu,huh,hu,separator,numerical,mathematics
Hu,noun,Hu,khhuh,ħu,laugh,,
huD,noun,huD,huhdz,huẓ,equipment,,
huj,noun,huj,huhch,huč,cupboard,,
Huj,noun,Huj,khhuhch,ħuč,"error, mistake",,
huJ,noun,huJ,huhj,huj,esophagus,,
huk,verb,huk,huhk,huk,patrol,,
Huky,compound noun,Huky,khhuh-kee,ħu-kē,giggle,,
hul,noun,hU,hul,hul,lying-down,,
HulD,noun,HUD,khhuldz,ħulẓ,velocity,,
hulf,verb,hUf,hulf,hulf,flank,,
Hulj,noun,HUj,khhulch,ħulč,toothbrush,bathroom,home
hulJ,noun,hUJ,hulj,hulj,"lawn, yard",,
hulj,noun,hUj,hulch,hulč,point,,
hulq,noun,hUq,hulth,hulθ,continent,,
huls,noun,hUs,huls,huls,phoneme,,
Hum,verb,Hum,khhuhm,ħum,return,,
hun,noun,hun,huhn,hun,honey,,
hup,noun,hup,huhp,hup,primate,,
Hup,noun,Hup,khhuhp,ħup,sprawling,,
huQ,noun,huQ,huhdth,huð,nervousness,,
huq,noun,huq,huhth,huθ,"text, writing",,
huz,verb,huz,huhz,huz,"quit, turn-off",,
hw,conjunction,hw,hooh,hü,if-only,preposition,grammar
Hw,noun,Hw,khhooh,ħü,muzzle,,
hwf,noun,hwf,hoohf,hüf,electricity,,
hwj,conjunction,hwj,hoohch,hüč,exclusive-or,preposition,grammar
Hwj,noun,Hwj,khhoohch,ħüč,drawbridge,,
Hwz,verb,Hwz,khhoohz,ħüz,befriend,,
hwz,noun,hwz,hoohz,hüz,politics,,
hy,preposition,hy,hee,hē,overlapping,preposition,grammar
Hy,unary suffix,Hy,khhee,ħē,poor,unary suffix,grammar
hyf,noun,hyf,heef,hēf,"chance, coincidence, luck, risk",,
hyH,noun,hyH,heekhh,hēħ,amazement,,
hyj,preposition,hyj,heech,hēč,separate,preposition,grammar
hyjlw,compound preposition,hyjlw,heech-looh,hēč-lü,between,,
hym,noun,hym,heem,hēm,housefly,,
hyN,noun,hyN,heeng,hēŋ,goose,,
hyn,noun,hyn,heen,hēn,pantyhose,,
Hyq,noun,Hyq,khheeth,ħēθ,quill,,
Hyx,verb,Hyx,khheesh,ħēš,"hide, stow",,
hyx,noun,hyx,heesh,hēš,treat,,
hyXr,compound preposition,hyXr,hee-zhur,hē-žur,"touching, bordering",,
Ja,noun,Ja,ja,ja,dromaeosaur,,
ja,noun,ja,cha,ča,island,,
jaD,verb,jaD,chadz,čaẓ,"buttress, hold-up, support",,
jaf,verb,jaf,chaf,čaf,nurture,,
jaj,noun,jaj,chach,čač,galloping,,
Jaj,noun,Jaj,jach,jač,toe,,
jak,noun,jak,chak,čak,starch,,
